sp	id	d	p	c	o	f	g	s
UP000235371	1095630	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Hyaloscypha	Hyaloscypha bicolor E
UP000235786	1149755	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Hyaloscypha	Hyaloscypha variabilis F
UP000095085	984485	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Hyphopichia	Hyphopichia burtonii NRRL Y-1933
UP000194361	1001938	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Hypoxylon	Hypoxylon sp. CO27-5
UP000242955	1001833	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Hypoxylon	Hypoxylon sp. CI-4A
UP000664534	172621	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Imshaugia	Imshaugia aleurites
UP000196158	1789683	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Kazachstania	Kazachstania saulgeensis
UP000005220	1071382	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Kazachstania	Kazachstania africana CBS 2517
UP000006310	1071383	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Kazachstania	Kazachstania naganishii CBS 8797
UP000000598	28985	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Kluyveromyces	Kluyveromyces lactis
UP000000314	644223	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Komagataella	Komagataella phaffii GS115
UP000054304	1245769	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lachancea	Lachancea lanzarotensis
UP000190274	1072105	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lachancea	Lachancea dasiensis
UP000191024	1230905	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lachancea	Lachancea mirantina
UP000190831	4955	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lachancea	Lachancea fermentati
UP000002036	559295	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lachancea	Lachancea thermotolerans CBS 6340
UP000315522	215461	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lachnellula	Lachnellula willkommii
UP000431533	1316788	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lachnellula	Lachnellula hyalina
UP000443090	215460	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lachnellula	Lachnellula occidentalis
UP000462212	602034	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lachnellula	Lachnellula subtilissima
UP000469558	602035	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lachnellula	Lachnellula suecica
UP000469559	1316785	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lachnellula	Lachnellula arida
UP000481288	1316786	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lachnellula	Lachnellula cervina
UP000325902	45133	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lasiodiplodia	Lasiodiplodia theobromae
UP000250266	1314670	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lepidopterella	Lepidopterella palustris CBS 459.81
UP000002668	985895	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Leptosphaeria	Leptosphaeria maculans JN3
UP000578531	112416	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Letharia	Letharia columbiana
UP000593566	560253	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Letharia	Letharia lupina
UP000094385	675824	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lipomyces	Lipomyces starkeyi NRRL Y-11557
UP000001996	379508	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lodderomyces	Lodderomyces elongisporus NRRL YB-4239
UP000233524	41688	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Lomentospora	Lomentospora prolificans
UP000007129	1126212	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Macrophomina	Macrophomina phaseolina MS6
UP000078237	100816	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Madurella	Madurella mycetomatis
UP000011715	644358	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Magnaporthiopsis	Magnaporthiopsis poae ATCC 64411
UP000242519	503106	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Marssonina	Marssonina coronariae
UP000481861	100035	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Massariosphaeria	Massariosphaeria phaeospora
UP000002499	655827	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Metarhizium	Metarhizium acridum CQMa 102
UP000030816	1081103	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Metarhizium	Metarhizium album ARSEF 1941
UP000054544	1291518	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Metarhizium	Metarhizium anisopliae BRIP 53293
UP000243498	1081105	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Metarhizium	Metarhizium rileyi RCEF 4871
UP000268321	27322	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Metschnikowia	Metschnikowia bicuspidata
UP000649328	2053757	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Metschnikowia	Metschnikowia persimmonesis
UP000292447	2163413	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Metschnikowia	Metschnikowia aff. pulcherrima
UP000319698	2562755	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Metschnikowia	Metschnikowia sp. JCM 33374
UP000092555	869754	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Metschnikowia	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993
UP000286412	2028340	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Meyerozyma	Meyerozyma sp. JA9
UP000001997	294746	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Meyerozyma	Meyerozyma guilliermondii ATCC 6260
UP000070501	196109	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Microdochium	Microdochium bolleyi
UP000002035	554155	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Microsporum	Microsporum canis CBS 113480
UP000005222	559304	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Millerozyma	Millerozyma farinosa CBS 7064
UP000078544	1081109	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Moelleriella	Moelleriella libera RCEF 2490
UP000070700	149040	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Mollisia	Mollisia scopiformis
UP000319663	5098	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monascus	Monascus purpureus
UP000249056	38457	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monilinia	Monilinia fructigena
UP000672032	61207	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monilinia	Monilinia vaccinii-corymbosi
UP000322873	38448	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monilinia	Monilinia fructicola
UP000326757	61186	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monilinia	Monilinia laxa
UP000293360	155417	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monosporascus	Monosporascus ibericus
UP000291414	2211647	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monosporascus	Monosporascus sp. GIB2
UP000292526	2211642	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monosporascus	Monosporascus sp. 5C6A
UP000292795	1081914	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monosporascus	Monosporascus sp. mg162
UP000293831	2211645	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monosporascus	Monosporascus sp. MG133
UP000292509	2211646	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monosporascus	Monosporascus sp. MC13-8B
UP000292472	2211644	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monosporascus	Monosporascus sp. CRB-8-3
UP000294245	2211643	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Monosporascus	Monosporascus sp. CRB-9-2
UP000277580	1392247	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Morchella	Morchella conica CCBAS932
UP000504636	574789	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Mytilinidion	Mytilinidion resinicola
UP000095009	857566	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Nadsonia	Nadsonia fulvescens var. elongata DSM 6958
UP000002669	535722	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Nannizzia	Nannizzia gypsea CBS 118893
UP000000689	1071378	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Naumovozyma	Naumovozyma dairenensis CBS 421
UP000001640	1064592	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Naumovozyma	Naumovozyma castellii CBS 4309
UP000013521	1287680	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Neofusicoccum	Neofusicoccum parvum UCRNP2
UP000186594	1198029	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Neolecta	Neolecta irregularis DAH-3
UP000050424	78410	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Neonectria	Neonectria ditissima
UP000008513	510952	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Neurospora	Neurospora tetrasperma FGSC 2509
UP000001805	367110	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Neurospora	Neurospora crassa OR74A
UP000008673	871575	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ogataea	Ogataea parapolymorpha DL-1
UP000054321	913774	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Oidiodendron	Oidiodendron maius Zn
UP000226192	1399860	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ophiocordyceps	Ophiocordyceps australis
UP000557566	72228	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ophiocordyceps	Ophiocordyceps sinensis
UP000226431	2004952	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ophiocordyceps	Ophiocordyceps camponoti-rufipedis
UP000562929	2030778	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ophiocordyceps	Ophiocordyceps camponoti-floridani
UP000252748	2039875	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ophiocordyceps	Ophiocordyceps camponoti-leonardi (nom. inval.)
UP000253071	2039874	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ophiocordyceps	Ophiocordyceps camponoti-saundersi (nom. inval.)
UP000037136	268505	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ophiocordyceps	Ophiocordyceps unilateralis
UP000253664	1330021	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ophiocordyceps	Ophiocordyceps polyrhachis-furcata BCC 54312
UP000019374	911162	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ophiocordyceps	Ophiocordyceps sinensis CO18
UP000016923	1262450	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ophiostoma	Ophiostoma piceae UAMH 11346
UP000008784	756982	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Orbilia	Orbilia oligospora ATCC 24927
UP000094236	669874	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pachysolen	Pachysolen tannophilus NRRL Y-2460
UP000283841	264951	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Paecilomyces	Paecilomyces variotii
UP000018001	1356009	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Paecilomyces	Paecilomyces variotii No. 5
UP000001628	502780	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Paracoccidioides	Paracoccidioides brasiliensis Pb18
UP000002059	502779	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Paracoccidioides	Paracoccidioides lutzii Pb01
UP000077069	1460663	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Paraphaeosphaeria	Paraphaeosphaeria sporulosa
UP000001055	321614	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Parastagonospora	Parastagonospora nodorum SN15
UP000503462	286661	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Peltaster	Peltaster fructicola
UP000184188	1073090	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicilliopsis	Penicilliopsis zonata CBS 506.65
UP000037696	229535	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium nordicum
UP000055045	48697	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium freii
UP000177622	1835702	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium arizonense
UP000186955	1316194	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium subrubescens
UP000191285	303698	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium steckii
UP000191342	254877	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium flavigenum
UP000191500	36646	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium coprophilum
UP000191518	29845	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium vulpinum
UP000191612	60172	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium solitum
UP000191672	416450	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium antarcticum
UP000631181	2839758	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium ucsense
UP000042958	104259	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium brasilianum
UP000191408	60169	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium polonicum
UP000191522	69771	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium decumbens
UP000191691	60175	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium nalgiovense
UP000030104	40296	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium italicum
UP000070168	5078	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium griseofulvum
UP000218381	290292	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium occitanis (nom. inval.)
UP000030143	27334	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium expansum
UP000019376	933388	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium oxalicum 114-2
UP000009882	1170229	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium digitatum PHI26
UP000000724	500485	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium rubens Wisconsin 54-1255
UP000244855	97972	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Periconia	Periconia macrospinosa
UP000030651	1229662	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pestalotiopsis	Pestalotiopsis fici W106-1
UP000014074	1286976	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Phaeoacremonium	Phaeoacremonium minimum UCRPA7
UP000053317	158046	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Phaeomoniella	Phaeomoniella chlamydospora
UP000184330	576137	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Phialocephala	Phialocephala subalpina
UP000038010	1664694	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Phialophora	Phialophora attinorum
UP000054266	5601	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Phialophora	Phialophora americana
UP000186136	4926	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pichia	Pichia membranifaciens
UP000249293	4909	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pichia	Pichia kudriavzevii
UP000094455	763406	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pichia	Pichia membranifaciens NRRL Y-2026
UP000663699	38082	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pneumocystis	Pneumocystis wakefieldiae
UP000675403	2698480	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pneumocystis	Pneumocystis sp. 'macacae'
UP000010422	42068	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pneumocystis	Pneumocystis jirovecii
UP000011958	1069680	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pneumocystis	Pneumocystis murina B123
UP000053447	1408657	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pneumocystis	Pneumocystis jirovecii RU7
UP000078397	1380566	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pochonia	Pochonia chlamydosporia 170
UP000289413	1052797	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pochonia	Pochonia chlamydosporia 123
UP000001197	515849	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Podospora	Podospora anserina S mat+
UP000224634	1447883	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Polytolypa	Polytolypa hystricis UAMH7299
UP000193685	2754530	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Protomyces	Protomyces lactucae-debilis
UP000070133	321146	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudocercospora	Pseudocercospora eumusae
UP000073492	113226	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudocercospora	Pseudocercospora musae
UP000660729	685502	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudocercospora	Pseudocercospora fuligena
UP000016932	383855	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudocercospora	Pseudocercospora fijiensis CIRAD86
UP000091956	342668	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus verrucosus
UP000092096	1622149	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. 05NY08
UP000092157	1622150	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. 24MN13
UP000091997	1622147	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. WSF 3629
UP000029299	1420902	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4246
UP000029320	1437433	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-3557
UP000029329	1391699	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-3808
UP000029338	1420901	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-3775
UP000091879	1524831	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. 23342-1-I1
UP000029268	1420910	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4516 (FW-969)
UP000029284	1420913	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4518 (FW-2643)
UP000029288	1420907	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4513 (FW-928)
UP000029302	1420909	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4515 (FW-2607)
UP000029308	1420915	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4520 (FW-2644)
UP000029315	1420914	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4519 (FW-2642)
UP000029327	1420906	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4281 (FW-2241)
UP000011064	658429	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus destructans 20631-21
UP000193689	1141098	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudomassariella	Pseudomassariella vexata
UP000078340	33203	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Purpureocillium	Purpureocillium lilacinum
UP000077535	765867	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pyrenochaeta	Pyrenochaeta sp. DS3sAY3a
UP000265663	1302712	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pyrenophora	Pyrenophora seminiperda CCB06
UP000001471	426418	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pyrenophora	Pyrenophora tritici-repentis Pt-1C-BFP
UP000001067	861557	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pyrenophora	Pyrenophora teres f. teres 0-1
UP000515153	148305	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pyricularia	Pyricularia grisea
UP000009058	242507	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pyricularia	Pyricularia oryzae 70-15
UP000192596	1507870	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rachicladosporium	Rachicladosporium antarcticum
UP000192386	1974281	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rachicladosporium	Rachicladosporium sp. CCFEE 5018
UP000225277	112498	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ramularia	Ramularia collo-cygni
UP000053958	1408163	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rasamsonia	Rasamsonia emersonii CBS 393.64
UP000053617	1442369	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rhinocladiella	Rhinocladiella mackenziei CBS 650.93
UP000178129	914237	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rhynchosporium	Rhynchosporium commune
UP000054516	77044	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rosellinia	Rosellinia necatrix
UP000238072	2070414	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rutstroemia	Rutstroemia sp. NJR-2017a BBW
UP000238611	2070413	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rutstroemia	Rutstroemia sp. NJR-2017a BVV2
UP000238813	2070412	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rutstroemia	Rutstroemia sp. NJR-2017a WRK4
UP000002311	559292	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Saccharomyces	Saccharomyces cerevisiae S288C
UP000006968	1160507	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Saccharomyces	Saccharomyces arboricola H-6
UP000002753	226230	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Saccharomyces	Saccharomyces kudriavzevii IFO 1802
UP000262825	36035	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Saccharomycodes	Saccharomycodes ludwigii
UP000033140	698492	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Saitoella	Saitoella complicata NRRL Y-17804
UP000308549	706561	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Salinomyces	Salinomyces thailandica
UP000398389	2606893	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Saprochaete	Saprochaete ingens
UP000028545	563466	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Scedosporium	Scedosporium apiospermum
UP000002258	322104	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Scheffersomyces	Scheffersomyces stipitis CBS 6054
UP000001744	402676	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Schizosaccharomyces	Schizosaccharomyces japonicus yFS275
UP000002485	284812	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Schizosaccharomyces	Schizosaccharomyces pombe 972h-
UP000015464	653667	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Schizosaccharomyces	Schizosaccharomyces cryophilus OY26
UP000624404	28548	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sclerotinia	Sclerotinia trifoliorum
UP000019487	1432307	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sclerotinia	Sclerotinia borealis F-4128
UP000001312	665079	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sclerotinia	Sclerotinia sclerotiorum 1980 UF-70
UP000258309	5539	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Scytalidium	Scytalidium lignicola
UP000283489	2487125	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Scytalidium	Scytalidium sp. 3C
UP000272025	1314773	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sodiomyces	Sodiomyces alkalinus F11
UP000001881	771870	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sordaria	Sordaria macrospora k-hell
UP000285775	2028339	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Spathaspora	Spathaspora sp. JA1
UP000000709	619300	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Spathaspora	Spathaspora passalidarum NRRL Y-27907
UP000243797	2082308	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sphaceloma	Sphaceloma murrayae
UP000326924	1250544	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sphaerosporella	Sphaerosporella brunnea
UP000016931	692275	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sphaerulina	Sphaerulina musiva SO2202
UP000076874	1081102	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sporothrix	Sporothrix insectorum RCEF 264
UP000018087	1391915	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sporothrix	Sporothrix schenckii ATCC 58251
UP000028524	1283841	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Stachybotrys	Stachybotrys chlorohalonata IBT 40285
UP000077206	765868	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Stagonospora	Stagonospora sp. SRC1lsM3a
UP000249619	183478	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Stemphylium	Stemphylium lycopersici
UP000189580	796027	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sugiyamaella	Sugiyamaella lignohabitans
UP000094285	984487	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Suhomyces	Suhomyces tanzawaensis NRRL Y-17324
UP000214365	1441469	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Talaromyces	Talaromyces atroroseus
UP000249363	1196081	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Talaromyces	Talaromyces amestolkiae
