code	d	p	c	o	f	g	s
UP000055045	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium freii
UP000177622	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium arizonense
UP000186955	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium subrubescens
UP000191285	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium steckii
UP000191342	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium flavigenum
UP000191500	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium coprophilum
UP000191518	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium vulpinum
UP000191612	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium solitum
UP000191672	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium antarcticum
UP000631181	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium ucsense
UP000042958	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium brasilianum
UP000191408	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium polonicum
UP000191522	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium decumbens
UP000191691	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium nalgiovense
UP000030104	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium italicum
UP000070168	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium griseofulvum
UP000218381	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium occitanis (nom. inval.)
UP000030143	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium expansum
UP000019376	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium oxalicum 114-2
UP000009882	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium digitatum PHI26
UP000000724	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Penicillium	Penicillium rubens Wisconsin 54-1255
UP000244855	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Periconia	Periconia macrospinosa
UP000030651	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pestalotiopsis	Pestalotiopsis fici W106-1
UP000014074	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Phaeoacremonium	Phaeoacremonium minimum UCRPA7
UP000053317	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Phaeomoniella	Phaeomoniella chlamydospora
UP000184330	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Phialocephala	Phialocephala subalpina
UP000038010	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Phialophora	Phialophora attinorum
UP000054266	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Phialophora	Phialophora americana
UP000186136	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pichia	Pichia membranifaciens
UP000249293	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pichia	Pichia kudriavzevii
UP000094455	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pichia	Pichia membranifaciens NRRL Y-2026
UP000663699	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pneumocystis	Pneumocystis wakefieldiae
UP000675403	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pneumocystis	Pneumocystis sp. 'macacae'
UP000010422	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pneumocystis	Pneumocystis jirovecii
UP000011958	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pneumocystis	Pneumocystis murina B123
UP000053447	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pneumocystis	Pneumocystis jirovecii RU7
UP000078397	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pochonia	Pochonia chlamydosporia 170
UP000289413	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pochonia	Pochonia chlamydosporia 123
UP000001197	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Podospora	Podospora anserina S mat+
UP000224634	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Polytolypa	Polytolypa hystricis UAMH7299
UP000193685	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Protomyces	Protomyces lactucae-debilis
UP000070133	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudocercospora	Pseudocercospora eumusae
UP000073492	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudocercospora	Pseudocercospora musae
UP000660729	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudocercospora	Pseudocercospora fuligena
UP000016932	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudocercospora	Pseudocercospora fijiensis CIRAD86
UP000091956	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus verrucosus
UP000092096	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. 05NY08
UP000092157	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. 24MN13
UP000091997	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. WSF 3629
UP000029299	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4246
UP000029320	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-3557
UP000029329	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-3808
UP000029338	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-3775
UP000091879	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. 23342-1-I1
UP000029268	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4516 (FW-969)
UP000029284	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4518 (FW-2643)
UP000029288	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4513 (FW-928)
UP000029302	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4515 (FW-2607)
UP000029308	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4520 (FW-2644)
UP000029315	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4519 (FW-2642)
UP000029327	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus sp. VKM F-4281 (FW-2241)
UP000011064	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudogymnoascus	Pseudogymnoascus destructans 20631-21
UP000193689	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pseudomassariella	Pseudomassariella vexata
UP000078340	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Purpureocillium	Purpureocillium lilacinum
UP000077535	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pyrenochaeta	Pyrenochaeta sp. DS3sAY3a
UP000265663	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pyrenophora	Pyrenophora seminiperda CCB06
UP000001471	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pyrenophora	Pyrenophora tritici-repentis Pt-1C-BFP
UP000001067	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pyrenophora	Pyrenophora teres f. teres 0-1
UP000515153	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pyricularia	Pyricularia grisea
UP000009058	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Pyricularia	Pyricularia oryzae 70-15
UP000192596	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rachicladosporium	Rachicladosporium antarcticum
UP000192386	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rachicladosporium	Rachicladosporium sp. CCFEE 5018
UP000225277	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ramularia	Ramularia collo-cygni
UP000053958	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rasamsonia	Rasamsonia emersonii CBS 393.64
UP000053617	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rhinocladiella	Rhinocladiella mackenziei CBS 650.93
UP000178129	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rhynchosporium	Rhynchosporium commune
UP000054516	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rosellinia	Rosellinia necatrix
UP000238072	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rutstroemia	Rutstroemia sp. NJR-2017a BBW
UP000238611	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rutstroemia	Rutstroemia sp. NJR-2017a BVV2
UP000238813	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Rutstroemia	Rutstroemia sp. NJR-2017a WRK4
UP000002311	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Saccharomyces	Saccharomyces cerevisiae S288C
UP000006968	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Saccharomyces	Saccharomyces arboricola H-6
UP000002753	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Saccharomyces	Saccharomyces kudriavzevii IFO 1802
UP000262825	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Saccharomycodes	Saccharomycodes ludwigii
UP000033140	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Saitoella	Saitoella complicata NRRL Y-17804
UP000308549	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Salinomyces	Salinomyces thailandica
UP000398389	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Saprochaete	Saprochaete ingens
UP000028545	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Scedosporium	Scedosporium apiospermum
UP000002258	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Scheffersomyces	Scheffersomyces stipitis CBS 6054
UP000001744	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Schizosaccharomyces	Schizosaccharomyces japonicus yFS275
UP000002485	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Schizosaccharomyces	Schizosaccharomyces pombe 972h-
UP000015464	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Schizosaccharomyces	Schizosaccharomyces cryophilus OY26
UP000624404	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sclerotinia	Sclerotinia trifoliorum
UP000019487	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sclerotinia	Sclerotinia borealis F-4128
UP000001312	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sclerotinia	Sclerotinia sclerotiorum 1980 UF-70
UP000258309	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Scytalidium	Scytalidium lignicola
UP000283489	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Scytalidium	Scytalidium sp. 3C
UP000272025	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sodiomyces	Sodiomyces alkalinus F11
UP000001881	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sordaria	Sordaria macrospora k-hell
UP000285775	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Spathaspora	Spathaspora sp. JA1
UP000000709	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Spathaspora	Spathaspora passalidarum NRRL Y-27907
UP000243797	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sphaceloma	Sphaceloma murrayae
UP000326924	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sphaerosporella	Sphaerosporella brunnea
UP000016931	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sphaerulina	Sphaerulina musiva SO2202
UP000076874	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sporothrix	Sporothrix insectorum RCEF 264
UP000018087	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sporothrix	Sporothrix schenckii ATCC 58251
UP000028524	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Stachybotrys	Stachybotrys chlorohalonata IBT 40285
UP000077206	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Stagonospora	Stagonospora sp. SRC1lsM3a
UP000249619	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Stemphylium	Stemphylium lycopersici
UP000189580	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Sugiyamaella	Sugiyamaella lignohabitans
UP000094285	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Suhomyces	Suhomyces tanzawaensis NRRL Y-17324
UP000214365	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Talaromyces	Talaromyces atroroseus
UP000249363	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Talaromyces	Talaromyces amestolkiae
UP000509510	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Talaromyces	Talaromyces rugulosus
UP000054383	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Talaromyces	Talaromyces islandicus
UP000001294	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Talaromyces	Talaromyces marneffei ATCC 18224
UP000001745	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Talaromyces	Talaromyces stipitatus ATCC 10500
UP000013776	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Taphrina	Taphrina deformans PYCC 5710
UP000267821	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Terfezia	Terfezia boudieri ATCC MYA-4762
UP000005666	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Tetrapisispora	Tetrapisispora phaffii CBS 4417
UP000002866	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Tetrapisispora	Tetrapisispora blattae CBS 6284
UP000008066	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Thermochaetoides	Thermochaetoides thermophila DSM 1495
UP000007322	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Thermothelomyces	Thermothelomyces thermophilus ATCC 42464
UP000008181	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Thermothielavioides	Thermothielavioides terrestris NRRL 8126
UP000033483	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Thielaviopsis	Thielaviopsis punctulata
UP000319257	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Thyridium	Thyridium curvatum
UP000236621	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Tolypocladium	Tolypocladium capitatum
UP000237481	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Tolypocladium	Tolypocladium paradoxum
UP000036947	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Tolypocladium	Tolypocladium ophioglossoides CBS 100239
UP000095023	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Tortispora	Tortispora caseinolytica NRRL Y-17796
UP000005627	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Torulaspora	Torulaspora delbrueckii
UP000510647	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Torulaspora	Torulaspora sp. CBS 2947
UP000054821	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichoderma	Trichoderma gamsii
UP000241546	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichoderma	Trichoderma citrinoviride
UP000517252	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichoderma	Trichoderma asperellum
UP000266272	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichoderma	Trichoderma arundinaceum
UP000034112	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichoderma	Trichoderma harzianum
UP000240493	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichoderma	Trichoderma asperellum CBS 433.97
UP000240760	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichoderma	Trichoderma longibrachiatum ATCC 18648
UP000241690	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichoderma	Trichoderma harzianum CBS 226.95
UP000008984	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichoderma	Trichoderma reesei QM6a
UP000005426	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichoderma	Trichoderma atroviride IMI 206040
UP000007115	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichoderma	Trichoderma virens Gv29-8
UP000024533	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichophyton	Trichophyton interdigitale MR816
UP000243015	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichophyton	Trichophyton rubrum
UP000008866	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichophyton	Trichophyton benhamiae CBS 112371
UP000008864	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Trichophyton	Trichophyton rubrum CBS 118892
UP000244722	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Tuber	Tuber borchii
UP000246991	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Tuber	Tuber magnatum
UP000006911	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Tuber	Tuber melanosporum Mel28
UP000002058	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Uncinocarpus	Uncinocarpus reesii 1704
UP000027002	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ustilaginoidea	Ustilaginoidea virens
UP000283895	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Valsa	Valsa malicola
UP000284375	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Valsa	Valsa sordida
UP000078576	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Valsa	Valsa mali var. pyri (nom. inval.)
UP000000267	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Vanderwaltozyma	Vanderwaltozyma polyspora DSM 70294
UP000298493	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Venturia	Venturia nashicola
UP000316270	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Venturia	Venturia effusa
UP000433883	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Venturia	Venturia inaequalis
UP000254866	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Venustampulla	Venustampulla echinocandica
UP000053259	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Verruconis	Verruconis gallopava
UP000044602	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Verticillium	Verticillium longisporum
UP000001611	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Verticillium	Verticillium dahliae VdLs.17
UP000008698	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Verticillium	Verticillium alfalfae VaMs.102
UP000238350	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Wickerhamiella	Wickerhamiella sorbophila
UP000009328	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Wickerhamomyces	Wickerhamomyces ciferrii
UP000094112	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Wickerhamomyces	Wickerhamomyces anomalus NRRL Y-366-8
UP000286045	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Xylaria	Xylaria grammica
UP000297716	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Xylaria	Xylaria hypoxylon
UP000319160	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Xylaria	Xylaria flabelliformis
UP000481858	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Xylaria	Xylaria multiplex
UP000189293	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Xylariales	Xylariales sp. No.14919
UP000076632	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Xylona	Xylona heveae TC161
UP000000707	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Yamadazyma	Yamadazyma tenuis ATCC 10573
UP000001300	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Yarrowia	Yarrowia lipolytica CLIB122
UP000190375	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Zygosaccharomyces	Zygosaccharomyces parabailii
UP000301737	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Zygosaccharomyces	Zygosaccharomyces mellis
UP000509704	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Zygotorulaspora	Zygotorulaspora mrakii
UP000033647	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Zymoseptoria	Zymoseptoria brevis
UP000215127	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Zymoseptoria	Zymoseptoria tritici ST99CH_3D7
UP000008062	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Zymoseptoria	Zymoseptoria tritici IPO323
UP000245768	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Acaromyces	Acaromyces ingoldii
UP000629468	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Agaricus	Agaricus bisporus var. burnettii
UP000008493	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Agaricus	Agaricus bisporus var. burnettii JB137-S8
UP000521872	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Agrocybe	Agrocybe pediades
UP000242287	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Amanita	Amanita thiersii Skay4041
UP000054549	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Amanita	Amanita muscaria Koide BX008
UP000308730	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Antrodiella	Antrodiella citrinella
UP000279236	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Apiotrichum	Apiotrichum porosum
UP000218334	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Armillaria	Armillaria solidipes
UP000219338	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Armillaria	Armillaria ostoyae
UP000217790	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Armillaria	Armillaria gallica
UP000609673	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Athelia	Athelia sp. TMB
UP000006514	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Auricularia	Auricularia subglabra TFB-10046 SS5
UP000320762	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Auriculariopsis	Auriculariopsis ampla
UP000683000	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Boletus	Boletus reticuloceps
UP000310158	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Bondarzewia	Bondarzewia mesenterica
UP000027195	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Botryobasidium	Botryobasidium botryosum FD-172 SS1
UP000076842	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Calocera	Calocera cornea HHB12733
UP000076738	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Calocera	Calocera viscosa TUFC12733
UP000290288	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Candolleomyces	Candolleomyces aberdarensis
UP000054845	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Ceraceosorus	Ceraceosorus bombacis
UP000245783	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Ceraceosorus	Ceraceosorus guamensis
UP000383932	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Ceratobasidium	Ceratobasidium theobromae
UP000650602	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Ceratobasidium	Ceratobasidium sp. AG-Ba
UP000518752	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Collybiopsis	Collybiopsis confluens
UP000053558	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Coniophora	Coniophora puteana RWD-64-598 SS2
UP000298030	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Coprinellus	Coprinellus micaceus
UP000307440	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Coprinopsis	Coprinopsis marcescibilis
UP000001861	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Coprinopsis	Coprinopsis cinerea okayama7#130
UP000308652	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Crucibulum	Crucibulum laeve
UP000094043	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Cryptococcus	Cryptococcus depauperatus CBS 7841
UP000094065	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Cryptococcus	Cryptococcus amylolentus CBS 6039
UP000053819	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Cryptococcus	Cryptococcus gattii CA1280
UP000002149	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Cryptococcus	Cryptococcus neoformans var. neoformans JEC21
UP000053611	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Cutaneotrichosporon	Cutaneotrichosporon oleaginosum
UP000467700	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Cyclocybe	Cyclocybe aegerita
UP000054007	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Cylindrobasidium	Cylindrobasidium torrendii FP15055 ss-10
UP000030653	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Dacryopinax	Dacryopinax primogenitus
UP000076727	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Daedalea	Daedalea quercina L-15889
UP000297245	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Dendrothele	Dendrothele bispora CBS 962.96
UP000298327	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Dentipellis	Dentipellis fragilis
UP000322482	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Dentipellis	Dentipellis sp. KUC8613
UP000292082	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Dichomitus	Dichomitus squalens
UP000053319	Eukaryota	Amorphea	Opisthokonta	Fungi	Basidiomycota	Dichomitus	Dichomitus squalens LYAD-421 SS1
