Eukaryota	AA5F14RM4H01 clade
Eukaryota	AT4-68 clade
Eukaryota	CCA32 lineage
Eukaryota	CRuMs
Eukaryota	CRuMs	CR clade
Eukaryota	CRuMs	CR clade	Collodictyonidae
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 1
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 1	strain Arungen
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 1	strain KIVT03
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 2
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 2	strain KIINB
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 2	strain KIKNR01
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 2	strain KIKNR02
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 2	strain KIKNR03
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 2	strain KIVT01
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 2	strain KIVT02
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 2	strain KIVT04
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 2	strain KIVTT01
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collo 18S clade 2	strain KIVTT02
Eukaryota	CRuMs	CR clade	Collodictyonidae	Collodictyon	Collodictyon triciliatum
Eukaryota	CRuMs	CR clade	Collodictyonidae	Diphylleia
Eukaryota	CRuMs	CR clade	Collodictyonidae	Diphylleia	Diphylleia rotans
Eukaryota	CRuMs	CR clade	Collodictyonidae	Diphylleia	Diphylleia rotans	strain Brugerolle-1990
Eukaryota	CRuMs	CR clade	Collodictyonidae	Diphylleia	Diphylleia rotans	strain NIES-3764
Eukaryota	CRuMs	CR clade	Collodictyonidae	Sulcomonas
Eukaryota	CRuMs	CR clade	Collodictyonidae	Sulcomonas	Sulcomonas lacustris
Eukaryota	CRuMs	CR clade	Rigifilida
Eukaryota	CRuMs	CR clade	Rigifilida	Micronuclearia
Eukaryota	CRuMs	CR clade	Rigifilida	Micronuclearia	Micronuclearia podoventralis
Eukaryota	CRuMs	CR clade	Rigifilida	Micronuclearia	Micronuclearia podoventralis	strain Mikrjukov-2001
Eukaryota	CRuMs	CR clade	Rigifilida	Rigifila
Eukaryota	CRuMs	CR clade	Rigifilida	Rigifila	Rigifila ramosa
Eukaryota	CRuMs	CR clade	Rigifilida	Rigifila	Rigifila ramosa	strain CCAP-1967/1
Eukaryota	CRuMs	Glissandra
Eukaryota	CRuMs	Glissandra	Glissandra innuerende
Eukaryota	CRuMs	Glissandra	Glissandra similis
Eukaryota	CRuMs	Mantamonas
Eukaryota	CRuMs	Mantamonas	AF21 lineage
Eukaryota	CRuMs	Mantamonas	AF21 lineage	strain AF21
Eukaryota	CRuMs	Mantamonas	Mantamonas plastica
Eukaryota	CRuMs	Mantamonas	Mantamonas plastica	strain CCAP-1946/1
Eukaryota	MB07.52 lineage
Eukaryota	NAMAKO-1 clade
Eukaryota	NAMAKO-2 clade
Eukaryota	RM2-SGM69 clade
Eukaryota	ST5960.106 clade
Eukaryota	cLA13B12 lineage
Eukaryota	Amorphea
Eukaryota	Amorphea	Amoebozoa
Eukaryota	Amorphea	Amoebozoa	HAVOmat lineage
